,id,country,capital,flag
203,203,Somalia,Mogadishu,🇸🇴
204,204,South Africa,Pretoria,🇿🇦
205,205,South Georgia,Grytviken,🇬🇸
206,116,South Korea,Seoul,🇰🇷
207,206,South Sudan,Juba,🇸🇸
208,207,Spain,Madrid,🇪🇸
209,208,Sri Lanka,Colombo,🇱🇰
210,209,Sudan,Khartoum,🇸🇩
211,210,Suriname,Paramaribo,🇸🇷
212,211,Svalbard And Jan Mayen Islands,Longyearbyen,🇸🇯
213,212,Swaziland,Mbabane,🇸🇿
214,213,Sweden,Stockholm,🇸🇪
215,214,Switzerland,Bern,🇨🇭
216,215,Syria,Damascus,🇸🇾
217,216,Taiwan,Taipei,🇹🇼
218,217,Tajikistan,Dushanbe,🇹🇯
219,218,Tanzania,Dodoma,🇹🇿
220,219,Thailand,Bangkok,🇹🇭
221,17,The Bahamas,Nassau,🇧🇸
222,220,Togo,Lome,🇹🇬
223,221,Tokelau,,🇹🇰
224,222,Tonga,Nuku'alofa,🇹🇴
225,223,Trinidad And Tobago,Port of Spain,🇹🇹
226,224,Tunisia,Tunis,🇹🇳
227,225,Turkey,Ankara,🇹🇷
228,226,Turkmenistan,Ashgabat,🇹🇲
229,227,Turks And Caicos Islands,Cockburn Town,🇹🇨
230,228,Tuvalu,Funafuti,🇹🇻
231,229,Uganda,Kampala,🇺🇬
232,230,Ukraine,Kyiv,🇺🇦
233,231,United Arab Emirates,Abu Dhabi,🇦🇪
234,232,United Kingdom,London,🇬🇧
235,233,United States,Washington,🇺🇸
236,234,United States Minor Outlying Islands,,🇺🇲
237,235,Uruguay,Montevideo,🇺🇾
238,236,Uzbekistan,Tashkent,🇺🇿
239,237,Vanuatu,Port Vila,🇻🇺
240,238,Vatican City State (Holy See),Vatican City,🇻🇦
241,239,Venezuela,Caracas,🇻🇪
242,240,Vietnam,Hanoi,🇻🇳
243,241,Virgin Islands (British),Road Town,🇻🇬
244,242,Virgin Islands (US),Charlotte Amalie,🇻🇮
245,243,Wallis And Futuna Islands,Mata Utu,🇼🇫
246,244,Western Sahara,El-Aaiun,🇪🇭
247,245,Yemen,Sanaa,🇾🇪
248,246,Zambia,Lusaka,🇿🇲
249,247,Zimbabwe,Harare,🇿🇼
